Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
0.00-1.00,sec,1.18,MBytes,9.93,Mbits/sec,0.566,ms,0/857,0%
1.00-2.00,sec,1.18,MBytes,9.87,Mbits/sec,1.02,ms,0/852,0%
2.00-3.00,sec,1.21,MBytes,10.1,Mbits/sec,0.817,ms,0/874,0%
3.00-4.00,sec,1.19,MBytes,9.99,Mbits/sec,0.761,ms,0/862,0%
4.00-5.00,sec,1.19,MBytes,10,Mbits/sec,0.309,ms,0/865,0%
5.00-6.00,sec,1.18,MBytes,9.94,Mbits/sec,1.144,ms,0/858,0%
6.00-7.00,sec,1.2,MBytes,10.1,Mbits/sec,0.727,ms,0/868,0%
7.00-8.00,sec,1.19,MBytes,10,Mbits/sec,1.042,ms,0/864,0%
8.00-9.00,sec,1.19,MBytes,9.99,Mbits/sec,0.528,ms,0/862,0%
9.00-10.00,sec,1.19,MBytes,10,Mbits/sec,0.659,ms,0/863,0%
10.00-11.00,sec,1.19,MBytes,10,Mbits/sec,0.424,ms,0/864,0%
11.00-12.00,sec,1.19,MBytes,10,Mbits/sec,0.764,ms,0/864,0%
12.00-13.00,sec,1.19,MBytes,10,Mbits/sec,0.817,ms,0/863,0%
13.00-14.00,sec,1.19,MBytes,9.99,Mbits/sec,0.471,ms,0/862,0%
14.00-15.00,sec,1.18,MBytes,9.94,Mbits/sec,1.255,ms,0/858,0%
15.00-16.00,sec,1.2,MBytes,10.1,Mbits/sec,0.634,ms,0/869,0%
16.00-17.00,sec,1.19,MBytes,10,Mbits/sec,0.942,ms,0/864,0%
17.00-18.00,sec,1.18,MBytes,9.89,Mbits/sec,1.245,ms,0/854,0%
18.00-19.00,sec,1.21,MBytes,10.1,Mbits/sec,0.481,ms,0/873,0%
19.00-20.00,sec,1.19,MBytes,9.99,Mbits/sec,0.438,ms,0/862,0%
20.00-21.00,sec,1.19,MBytes,10,Mbits/sec,1.037,ms,0/864,0%
21.00-22.00,sec,1.19,MBytes,10,Mbits/sec,0.929,ms,0/863,0%
22.00-23.00,sec,1.19,MBytes,10,Mbits/sec,0.576,ms,0/863,0%
23.00-24.00,sec,1.19,MBytes,10,Mbits/sec,0.328,ms,0/863,0%
24.00-25.00,sec,1.19,MBytes,10,Mbits/sec,0.84,ms,0/864,0%
25.00-26.00,sec,1.19,MBytes,9.99,Mbits/sec,0.762,ms,0/862,0%
26.00-27.00,sec,1.19,MBytes,10,Mbits/sec,0.628,ms,0/865,0%
27.00-28.00,sec,1.19,MBytes,9.99,Mbits/sec,0.496,ms,0/862,0%
28.00-29.00,sec,1.19,MBytes,10,Mbits/sec,0.438,ms,0/863,0%
29.00-30.00,sec,1.19,MBytes,10,Mbits/sec,0.82,ms,0/864,0%
30.00-31.00,sec,1.19,MBytes,10,Mbits/sec,0.813,ms,0/863,0%
31.00-32.00,sec,1.19,MBytes,10,Mbits/sec,0.583,ms,0/863,0%
32.00-33.00,sec,1.19,MBytes,10,Mbits/sec,0.491,ms,0/864,0%
33.00-34.00,sec,1.19,MBytes,10,Mbits/sec,0.725,ms,0/864,0%
34.00-35.00,sec,1.19,MBytes,10,Mbits/sec,0.84,ms,0/863,0%
35.00-36.00,sec,1.19,MBytes,9.99,Mbits/sec,0.368,ms,0/862,0%
36.00-37.00,sec,1.19,MBytes,10,Mbits/sec,0.573,ms,0/863,0%
37.00-38.00,sec,1.19,MBytes,10,Mbits/sec,0.676,ms,0/864,0%
38.00-39.00,sec,1.19,MBytes,10,Mbits/sec,0.369,ms,0/863,0%
39.00-40.00,sec,1.19,MBytes,10,Mbits/sec,0.948,ms,0/864,0%
40.00-41.00,sec,1.19,MBytes,9.99,Mbits/sec,0.652,ms,0/862,0%
41.00-42.00,sec,1.19,MBytes,10,Mbits/sec,0.323,ms,0/865,0%
42.00-43.00,sec,1.18,MBytes,9.9,Mbits/sec,1.173,ms,0/855,0%
43.00-44.00,sec,1.2,MBytes,10.1,Mbits/sec,0.985,ms,0/871,0%
44.00-45.00,sec,1.19,MBytes,9.99,Mbits/sec,0.672,ms,0/862,0%
45.00-46.00,sec,1.19,MBytes,10,Mbits/sec,0.403,ms,0/865,0%
46.00-47.00,sec,1.19,MBytes,9.99,Mbits/sec,1.115,ms,0/862,0%
47.00-48.00,sec,1.19,MBytes,10,Mbits/sec,0.608,ms,0/863,0%
48.00-49.00,sec,1.19,MBytes,10,Mbits/sec,0.344,ms,0/864,0%
49.00-50.00,sec,1.19,MBytes,10,Mbits/sec,0.665,ms,0/864,0%
50.00-51.00,sec,1.19,MBytes,10,Mbits/sec,0.826,ms,0/864,0%
51.00-52.00,sec,1.19,MBytes,9.97,Mbits/sec,0.722,ms,0/861,0%
52.00-53.00,sec,1.19,MBytes,10,Mbits/sec,0.596,ms,0/864,0%
53.00-54.00,sec,1.19,MBytes,10,Mbits/sec,0.602,ms,0/864,0%
54.00-55.00,sec,1.19,MBytes,10,Mbits/sec,0.404,ms,0/863,0%
55.00-56.00,sec,1.19,MBytes,9.97,Mbits/sec,1.005,ms,0/861,0%
56.00-57.00,sec,1.19,MBytes,10,Mbits/sec,0.849,ms,0/865,0%
57.00-58.00,sec,1.19,MBytes,10,Mbits/sec,0.53,ms,0/864,0%
58.00-59.00,sec,1.19,MBytes,10,Mbits/sec,0.398,ms,0/863,0%
59.00-60.00,sec,1.17,MBytes,9.79,Mbits/sec,1.138,ms,0/845,0%
60.00-61.00,sec,1.22,MBytes,10.2,Mbits/sec,0.588,ms,0/881,0%
61.00-62.00,sec,1.19,MBytes,10,Mbits/sec,0.628,ms,0/864,0%
62.00-63.00,sec,1.19,MBytes,9.97,Mbits/sec,1.184,ms,0/861,0%
63.00-64.00,sec,1.19,MBytes,9.95,Mbits/sec,1.304,ms,0/859,0%
64.00-65.00,sec,1.2,MBytes,10.1,Mbits/sec,1.03,ms,0/870,0%
65.00-66.00,sec,1.19,MBytes,10,Mbits/sec,0.571,ms,0/863,0%
66.00-67.00,sec,1.19,MBytes,9.99,Mbits/sec,0.997,ms,0/862,0%
67.00-68.00,sec,1.19,MBytes,9.97,Mbits/sec,1.065,ms,0/861,0%
68.00-69.00,sec,1.2,MBytes,10,Mbits/sec,0.545,ms,0/867,0%
69.00-70.00,sec,1.19,MBytes,10,Mbits/sec,0.608,ms,0/863,0%
70.00-71.00,sec,1.18,MBytes,9.93,Mbits/sec,1.235,ms,0/857,0%
71.00-72.00,sec,1.2,MBytes,10.1,Mbits/sec,0.863,ms,0/869,0%
72.00-73.00,sec,1.19,MBytes,10,Mbits/sec,0.572,ms,0/864,0%
73.00-74.00,sec,1.19,MBytes,9.97,Mbits/sec,0.527,ms,0/861,0%
74.00-75.00,sec,1.19,MBytes,10,Mbits/sec,0.432,ms,0/865,0%
75.00-75.01,sec,7.07,KBytes,4.39,Mbits/sec,0.942,ms,0/5 (,0%)
- - - - - - -,- -,- - -,- - - -,- -,- - - -,,,,
Interval,,Transfer,,Bitrate,,Jitter,,Lost/Total Datagrams,
0.00-75.01,sec,89.4,MBytes,10,Mbits/sec,0.942,ms,0/647,43 (0%)  receiver
